food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Nutrition Density,Types,food_encoded
white cake with coconut frosting,399,11500.0,4400.0,4100.0,2400.0,70800.0,64300.0,4900.0,1100.0,1.1,300.0,23200.0,0.015,0.1,0.058,0.091,0.2,1.2,0.2,0.026,0.1,0.047,0.1,0.019,100.8,1.3,13.4,78.4,110.9,0.4,190.574,cake,154
danish pastry with cheese,353,24600.0,5100.0,15600.0,2400.0,28700.0,0.0,5800.0,0.0,20.0,300.0,30800.0,0.057,0.3,0.035,0.095,0.2,2.5,0.6,0.082,2.6,0.0,0.0,0.0,70.1,1.8,15.5,80.1,116.5,0.6,133.666,cake,155
graham cracker pie crust,917,45400.0,9100.0,31000.0,3100.0,117700.0,33200.0,9300.0,3500.0,0.0,900.0,8000.0,0.0,0.3,0.1,0.0,0.4,5.9,0.3,0.1,0.0,0.0,3.4,0.058,53.1,4.8,42.1,214.1,206.8,2.3,233.8,cake,156
blueberry pie,360,17500.0,4300.0,7500.0,4500.0,49200.0,0.0,4000.0,0.0,0.0,300.0,75300.0,0.0,0.2,0.073,0.0,0.2,1.8,0.2,0.015,1.0,0.0,0.0,0.0,10.3,1.8,11.8,44.1,73.5,0.3,83.8,cake,157
yellow cake with vanilla frosting,239,9300.0,1500.0,3900.0,3300.0,37600.0,0.0,2200.0,200.0,35.2,200.0,14100.0,0.027,0.018,0.064,0.016,0.099,0.3,0.2,0.001,0.0,0.0,0.0,0.0,39.7,0.7,3.8,91.5,33.9,0.2,89.788,cake,158
pie crust,121,8000.0,2000.0,3500.0,2100.0,10900.0,45.0,1500.0,400.0,0.0,100.0,2300.0,0.0,0.004,0.004,0.0,0.088,0.8,0.048,0.075,0.0,0.0,0.033,0.038,2.3,0.7,3.2,15.4,15.4,0.1,23.8,cake,159
chocolate cake with chocolate frosting,537,27700.0,8200.0,10100.0,6400.0,72900.0,55100.0,4800.0,3000.0,30.4,500.0,30400.0,0.095,0.0,0.098,0.0,0.061,1.1,0.3,0.0,0.1,0.0,6.0,0.02,41.4,4.2,42.8,189.1,372.6,0.8,154.164,cake,160
cheese coffeecake,258,11600.0,4100.0,5400.0,1300.0,33700.0,0.0,5300.0,800.0,64.6,300.0,24500.0,0.082,0.098,0.001,0.049,0.07,0.5,0.3,0.086,0.041,0.0,0.0,0.0,44.8,0.5,11.4,76.8,219.6,0.4,96.831,cake,161
vanilla cream pie,350,18100.0,5100.0,7600.0,4300.0,41100.0,16000.0,6000.0,800.0,78.1,300.0,59200.0,0.1,0.2,0.064,0.086,0.3,1.2,0.5,0.006,0.6,0.076,0.6,0.01,113.4,1.3,16.4,131.0,158.8,0.7,181.4,cake,162
pineapple cake,367,13900.0,3400.0,6000.0,3800.0,58100.0,0.0,4000.0,900.0,25.3,400.0,37100.0,0.078,0.2,0.069,0.091,0.2,1.4,0.2,0.029,1.4,0.0,0.0,0.0,138.0,1.7,15.0,94.3,128.8,0.4,218.024,cake,163
peach pie,262,11700.0,1800.0,5000.0,4400.0,38500.0,19000.0,2200.0,900.0,0.0,300.0,63600.0,0.06,0.025,0.089,0.0,0.082,0.2,0.1,0.047,1.1,0.0,1.1,0.023,9.4,0.6,7.0,25.7,146.3,0.1,64.447,cake,164
fruit coffeecake,156,5100.0,1200.0,2800.0,700.0,25800.0,0.0,2600.0,1300.0,3.5,200.0,15900.0,0.0,0.089,0.042,0.0,0.037,1.3,0.3,0.013,0.4,0.0,0.0,0.0,22.5,1.2,8.5,59.0,45.0,0.3,58.9,cake,165
pound cake,116,6000.0,3500.0,1800.0,300.0,14600.0,0.0,1700.0,200.0,66.3,100.0,7400.0,0.09,0.059,0.055,0.088,0.048,0.4,0.1,0.087,0.0,0.0,0.0,0.0,10.5,0.4,3.3,41.1,35.7,0.1,33.47,cake,166
pound cake bread,215,9600.0,1700.0,2400.0,5200.0,28200.0,10000.0,3900.0,900.0,0.0,200.0,12300.0,0.0,0.041,0.0,0.0,0.028,2.6,0.3,0.08,0.0,0.0,0.8,0.0,25.3,1.2,10.5,165.0,115.5,0.3,69.1,cake,167
white cake,264,9200.0,2400.0,3900.0,2300.0,42300.0,26300.0,4000.0,600.0,1.5,200.0,17200.0,0.043,0.1,0.037,0.07,0.2,1.1,0.1,0.02,0.1,0.0,0.073,0.04,96.2,1.1,8.9,68.8,70.3,0.2,153.59,cake,168
coffeecake with chocolate frosting,298,9700.0,2500.0,5100.0,1300.0,48400.0,0.0,4500.0,1800.0,62.1,300.0,26200.0,0.041,0.006,0.036,0.01,0.024,0.8,0.4,0.051,0.015,0.0,0.0,0.0,34.2,0.5,13.5,67.5,70.2,0.4,99.233,cake,169
popcorn cake,38,300.0,74.0,60.0,100.0,8000.0,1.0,1000.0,300.0,0.0,50.0,500.0,0.0,0.079,0.068,0.0,0.06,0.6,0.002,0.076,0.0,0.0,0.073,0.005,0.9,0.2,15.9,27.7,32.7,0.4,10.7,cake,170
banana cream pie,3190,161300.0,44600.0,67800.0,39000.0,390200.0,143000.0,52200.0,8300.0,604.9,2800.0,568100.0,0.7,1.6,0.3,0.006,2.5,12.5,4.6,1.6,19.0,0.009,4.7,0.069,889.5,12.3,189.8,1091.1,1956.9,5.7,1533.5,cake,171
baked apple pie mcdonalds,91,4400.0,1100.0,2600.0,300.0,12300.0,4900.0,900.0,600.0,0.0,76.0,10500.0,0.0,0.093,0.053,0.0,0.045,0.7,0.036,0.027,9.1,0.0,0.5,0.0,5.4,0.6,2.0,10.2,17.8,0.0,33.3,cake,172
sponge cake,187,2700.0,800.0,1000.0,400.0,36400.0,0.0,4600.0,0.0,107.1,100.0,18500.0,0.071,0.1,0.076,0.056,0.2,0.8,0.3,0.07,0.0,0.0,0.0,0.0,26.5,1.0,5.7,63.0,88.8,0.4,71.264,cake,173
yellow cake,245,9900.0,2700.0,4200.0,2400.0,36000.0,0.0,3600.0,500.0,36.7,200.0,17100.0,0.094,0.1,0.086,0.016,0.2,1.0,0.2,0.038,0.1,0.0,0.0,0.0,99.3,1.1,8.2,79.6,61.9,0.3,150.51,cake,174
shortcake,98,4000.0,1100.0,1700.0,1000.0,13700.0,0.0,1700.0,0.0,0.8,100.0,8000.0,0.005,0.058,0.027,0.099,0.039,0.7,0.005,0.055,0.07,0.0,0.0,0.0,58.0,0.7,4.5,40.5,30.0,0.1,78.182,cake,175
cherry pie,486,22000.0,5400.0,9600.0,5800.0,69300.0,0.0,5000.0,0.0,0.0,300.0,82400.0,0.027,0.3,0.081,0.0,0.2,2.3,0.2,0.016,1.8,0.0,0.0,0.0,18.0,3.3,16.2,54.0,138.6,0.4,119.444,cake,176
dutch apple pie,397,15800.0,3200.0,7900.0,2900.0,61000.0,30200.0,3000.0,2200.0,0.0,300.0,56300.0,0.008,0.3,0.033,0.0,0.07,1.5,0.1,0.0,7.8,0.0,1.3,0.071,19.2,1.2,11.0,39.7,104.1,0.3,110.281,cake,177
chocolate cake,352,14300.0,5200.0,5700.0,2600.0,50700.0,0.0,5000.0,1500.0,55.1,300.0,23200.0,0.0,0.1,0.012,0.027,0.2,1.1,0.3,0.038,0.2,0.0,0.0,0.0,57.0,1.5,30.4,100.7,133.0,0.7,130.2,cake,178
marshmallow,64,33.0,45.0,35.0,60.0,16300.0,11500.0,400.0,13.0,0.0,39.0,3300.0,0.0,0.015,0.011,0.0,0.028,0.038,0.014,0.062,0.0,0.0,0.0,0.0,0.6,0.038,0.4,1.6,1.0,0.06,17.445,sweet,179
toffee,67,3900.0,2500.0,1100.0,100.0,7800.0,7600.0,100.0,0.0,12.5,44.0,40.0,0.033,0.074,0.059,0.021,0.076,0.001,0.098,0.044,0.099,0.079,0.0,0.1,0.097,0.092,0.094,0.082,3.8,0.031,12.023,sweet,180
vanilla fudge with nuts,123,3900.0,1100.0,700.0,1900.0,21100.0,20100.0,800.0,300.0,3.7,75.0,2300.0,0.064,0.079,0.012,0.018,0.077,0.042,0.046,0.041,0.074,0.0,0.087,0.056,13.3,0.1,6.8,20.7,29.1,0.2,39.577,sweet,181
peanuts chocolate coated,21,1300.0,600.0,500.0,200.0,2000.0,1500.0,500.0,200.0,0.4,63.0,8.0,0.09,0.023,0.014,0.019,0.078,0.2,0.027,0.026,0.0,0.0,0.001,0.054,4.2,0.037,3.8,8.5,20.1,0.1,8.305,sweet,182
caramel with nuts chocolate coated,66,2900.0,700.0,1300.0,800.0,8500.0,5800.0,1300.0,600.0,0.0,41.0,900.0,0.028,0.067,0.066,0.0,0.004,0.7,0.0,0.05,0.2,0.0,0.2,0.024,10.9,0.2,11.3,23.2,62.3,0.3,24.683,sweet,183
gingerbread,263,12100.0,3100.0,5300.0,3100.0,36400.0,0.0,2900.0,0.0,23.7,200.0,20700.0,0.036,0.1,0.088,0.027,0.1,1.3,0.3,0.1,0.082,0.0,0.0,0.0,52.5,2.1,51.8,40.0,324.9,0.3,106.123,sweet,184
rolo nestle,24,1000.0,600.0,3400.0,2900.0,200.0,78.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234,sweet,185
vanilla fudge,108,1500.0,1000.0,400.0,84.0,23200.0,22600.0,300.0,0.0,4.2,40.0,3100.0,0.063,0.013,0.056,0.076,0.012,0.093,0.015,0.095,0.0,0.0,0.067,0.026,10.8,0.036,0.8,8.5,13.9,0.089,35.944,sweet,186
halavah,328,15100.0,2900.0,5700.0,5900.0,42300.0,0.0,8700.0,3200.0,0.0,100.0,2600.0,0.0,0.3,0.016,0.0,0.036,2.0,0.1,0.2,0.097,0.0,0.0,0.0,23.1,3.2,152.6,424.9,130.9,3.0,95.618,sweet,187
praline,189,10100.0,900.0,5700.0,3000.0,23200.0,21800.0,1300.0,1400.0,0.0,16.0,4000.0,0.0,0.066,0.096,0.0,0.071,0.2,0.1,0.021,0.1,0.0,0.2,0.033,16.8,0.5,19.1,40.6,84.6,0.7,53.4,sweet,188
fruit juice bar,67,89.0,0.0,0.0,26.0,15600.0,13500.0,900.0,800.0,0.0,11.0,60300.0,0.0,0.022,0.032,0.0,0.055,0.1,0.099,0.094,7.3,0.0,0.0,0.092,3.9,0.1,3.1,4.6,40.8,0.068,28.671,sweet,189
peanut brittle,138,5400.0,1200.0,2300.0,1300.0,20200.0,14500.0,2100.0,700.0,3.4,100.0,200.0,0.051,0.015,0.046,0.0,0.098,0.7,0.1,0.029,0.0,0.0,0.7,0.06,7.6,0.3,11.9,30.0,47.5,0.2,36.343,sweet,190
butterscotch,21,200.0,100.0,70.0,76.0,4800.0,4300.0,79.0,0.0,0.5,39.0,300.0,0.076,0.008,0.0,0.0,0.087,0.093,0.075,0.0,0.0,0.0,0.059,0.092,0.2,0.02,0.0,0.04,0.2,0.001,5.351,sweet,191
chocolate coffee beans,155,9400.0,5100.0,3900.0,400.0,15600.0,14400.0,2100.0,1600.0,5.7,6.0,700.0,0.049,0.007,0.016,0.063,0.011,0.052,0.1,0.002,0.0,0.0,0.1,0.04,47.8,0.6,18.1,53.2,116.9,0.6,77.127,sweet,192
nougat with almonds,56,200.0,200.0,0.0,0.0,12900.0,11700.0,500.0,500.0,0.0,61.0,300.0,0.0,0.058,0.044,0.0,0.045,0.083,0.044,0.001,0.096,0.0,0.4,0.0,4.5,0.082,4.5,7.7,14.7,0.051,18.658,sweet,193
carob,135,7800.0,7300.0,100.0,28.0,14100.0,8500.0,2000.0,1000.0,0.3,15.0,400.0,0.0,0.0,0.02,0.087,0.086,0.027,0.3,0.2,0.007,0.1,0.0,0.4,0.051,0.011,0.3,0.059,31.5,0.087,25.013,sweet,194
peanut butter fudge,62,1100.0,300.0,500.0,300.0,12400.0,11700.0,600.0,100.0,0.5,85.0,1700.0,0.081,0.064,0.09,0.095,0.07,0.2,0.028,0.052,0.0,0.0,0.2,0.068,6.7,0.072,3.2,10.9,19.0,0.021,21.055,sweet,195
sugar coated almonds,17,600.0,16.0,400.0,100.0,2400.0,2200.0,400.0,13.0,0.0,21.0,94.0,0.0,0.08,0.033,0.0,0.098,0.046,0.029,0.092,0.0,0.0,0.4,0.0,3.5,0.061,4.8,5.8,8.9,0.085,6.936,sweet,196
chocolate coated marshmallow,118,4700.0,1300.0,2600.0,500.0,19000.0,12500.0,1100.0,600.0,0.0,2.0,2800.0,0.043,0.07,0.002,0.098,0.027,0.2,0.1,0.087,0.093,0.0,0.022,0.03,12.9,0.7,10.1,27.2,51.0,0.2,39.096,sweet,197
raisins chocolate coated,390,14800.0,10300.0,3100.0,600.0,68400.0,62200.0,4100.0,3100.0,3.0,21.0,11200.0,0.059,0.018,0.016,0.066,0.2,0.4,0.3,0.08,0.2,0.0,0.3,0.054,86.0,1.7,45.0,143.0,514.0,1.3,178.329,sweet,198
chewing gum sugarless,5,13.0,90.0,81.0,38.0,1900.0,0.0,0.0,78.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.378,sweet,199
chewing gum,11,32.0,58.0,60.0,15.0,2900.0,2000.0,0.0,12.0,0.0,83.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,2.973,sweet,200
chocolate syrup,109,400.0,200.0,100.0,11.0,25400.0,19400.0,800.0,1000.0,0.0,61.0,12100.0,0.0,0.055,0.096,0.0,0.099,0.1,0.096,0.089,0.009,0.0,0.086,0.049,5.5,0.8,25.4,50.3,87.4,0.3,33.955,sweet,201
chocolate fudge syrup,67,1700.0,800.0,700.0,86.0,12000.0,6600.0,900.0,500.0,0.2,84.0,4100.0,0.07,0.015,0.079,0.029,0.077,0.02,0.073,0.046,0.023,0.0,0.5,0.035,9.3,0.2,9.1,18.4,54.0,0.2,24.726,sweet,202
m ms milk chocolate mars,207,8900.0,5500.0,2200.0,400.0,29900.0,26700.0,1800.0,1200.0,5.9,18.0,700.0,0.086,0.097,0.016,0.063,0.08,0.1,0.1,0.015,0.2,0.0,0.2,0.032,44.1,0.5,18.5,61.3,109.6,0.7,86.651,sweet,203
milk chocolate with almonds,216,14100.0,7300.0,4900.0,1200.0,21900.0,18000.0,3700.0,2500.0,7.8,51.0,600.0,0.049,0.02,0.06,0.093,0.2,0.3,0.2,0.047,0.084,0.0,1.3,0.016,91.8,0.7,36.9,108.2,182.0,0.5,134.811,sweet,204
chocolate fudge,70,1800.0,1100.0,500.0,55.0,13000.0,12400.0,400.0,300.0,2.4,32.0,1700.0,0.067,0.028,0.062,0.061,0.029,0.054,0.011,0.044,0.0,0.0,0.075,0.068,8.3,0.3,6.1,12.1,22.8,0.2,24.119,sweet,205
milk chocolate with rice cereal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sweet,206
m ms peanut chocolate mars,93,4700.0,1800.0,1500.0,600.0,10900.0,9100.0,1700.0,700.0,1.4,17.0,400.0,0.035,0.064,0.097,0.051,0.062,0.6,0.1,0.061,0.0,0.0,0.5,0.086,18.4,0.2,12.4,34.2,62.5,0.3,36.623,sweet,207
dark chocolate,165,9700.0,5700.0,2900.0,300.0,18000.0,13800.0,1500.0,2200.0,2.1,13.0,300.0,0.074,0.0,0.052,0.0,0.077,0.004,0.2,0.084,0.064,0.0,0.0,0.2,0.087,0.3,2.4,0.4,64.2,0.033,31.848,sweet,208
chocolate semisweet,806,50400.0,29800.0,16700.0,1600.0,107400.0,91600.0,7100.0,9900.0,0.0,42.0,1200.0,0.0,0.023,0.094,0.0,0.2,0.7,0.2,0.036,0.0,0.0,0.4,0.066,53.8,5.3,193.2,221.8,613.2,2.7,233.9,sweet,209
after eight mints nestle,36,1000.0,700.0,0.0,0.0,6700.0,5600.0,100.0,200.0,0.0,25.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.062,0.0,0.0,0.0,0.0,9.163,sweet,210
milk chocolate,37,2100.0,1300.0,500.0,36.0,4200.0,3600.0,500.0,200.0,1.6,45.0,100.0,0.049,0.097,0.033,0.01,0.066,0.079,0.087,0.089,0.0,0.0,0.003,0.017,13.2,0.2,4.4,14.6,26.0,0.2,20.464,sweet,211
white chocolate,162,9600.0,5800.0,2700.0,300.0,17800.0,17700.0,1800.0,81.0,6.3,9.0,400.0,0.072,0.072,0.051,0.022,0.091,0.2,0.2,0.042,0.2,0.0,0.3,0.082,59.7,0.025,3.6,52.8,85.8,0.2,89.212,sweet,212
chocolate,208,14000.0,8200.0,4600.0,400.0,24800.0,21100.0,1600.0,2300.0,0.0,1.0,200.0,0.0,0.094,0.069,0.0,0.026,0.3,0.019,0.091,0.0,0.0,0.1,0.074,9.8,1.1,46.3,60.3,118.9,0.6,53.6,sweet,213
twix mars,146,7200.0,5500.0,900.0,200.0,18800.0,14000.0,1400.0,300.0,2.0,64.0,1200.0,0.081,0.062,0.048,0.007,0.036,0.073,0.3,0.03,0.099,0.2,0.0,0.2,0.085,0.042,0.2,0.071,30.5,0.065,27.86,sweet,214
kit kat nestle,62,3300.0,2200.0,600.0,97.0,7600.0,6500.0,700.0,200.0,1.1,22.0,100.0,0.0,0.0,0.094,0.047,0.0,0.071,0.035,0.065,0.0,0.2,0.0,0.0,0.0,0.059,0.1,0.0,13.4,0.0,11.843,sweet,215
snickers mars,280,13600.0,5200.0,4500.0,1700.0,35100.0,28800.0,4300.0,1300.0,7.4,100.0,3200.0,0.2,0.009,0.015,0.089,0.078,0.092,2.1,0.3,0.077,0.3,0.0,0.9,0.015,0.2,0.4,0.2,108.3,0.0,54.826,sweet,216
milky way mars,264,10000.0,7000.0,1300.0,200.0,41300.0,34600.0,2300.0,600.0,5.2,21.0,3700.0,0.1,0.065,0.085,0.079,0.011,0.081,0.0,0.09,0.068,0.4,0.072,0.5,0.038,0.047,0.3,0.095,38.9,0.073,54.438,sweet,217
clif bar,235,4000.0,1000.0,700.0,1500.0,44500.0,21500.0,10000.0,5000.0,0.0,100.0,7500.0,0.0,0.4,0.076,0.055,0.3,3.0,1.5,0.4,60.0,0.0,0.2,0.089,250.2,4.5,100.0,199.9,280.2,3.0,378.2,sweet,218
gum drops,18,42.0,50.0,100.0,12.0,4400.0,3500.0,0.0,0.0,0.0,8.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.418,sweet,219
skittles wild berry mars,249,2600.0,2600.0,0.0,0.0,56300.0,47100.0,100.0,0.0,0.0,36.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.6,sweet,220
skittles original mars,251,2700.0,2600.0,0.0,0.0,56300.0,47000.0,100.0,0.0,0.0,25.0,2400.0,0.0,0.0,0.0,0.0,0.033,0.037,0.016,0.097,41.4,0.0,0.1,0.036,0.0,0.0,0.6,0.6,7.4,0.03,100.5,sweet,221
skittles tropical mars,251,2700.0,0.0,0.0,0.0,56300.0,47000.0,100.0,0.0,0.0,95.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.7,sweet,222
fruit leather,52,400.0,25.0,200.0,50.0,12000.0,6900.0,29.0,0.0,0.0,0.0,1400.0,0.0,0.051,0.081,0.0,0.05,0.03,0.078,0.016,16.8,0.0,0.02,0.003,4.5,0.1,2.8,4.3,41.2,0.014,33.811,sweet,223
taffy,60,500.0,300.0,100.0,45.0,13700.0,10300.0,87.0,0.0,1.4,28.0,700.0,0.096,0.026,0.011,0.0,0.0,0.046,0.018,0.013,0.0,0.0,0.0,0.062,0.034,0.0,0.016,0.0,0.2,0.054,14.358,sweet,224
eisbonbons mac iver,23,0.0,0.0,5600.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sweet,225
caramels,39,800.0,300.0,200.0,400.0,7800.0,6600.0,500.0,0.0,0.7,15.0,900.0,0.021,0.005,0.061,0.03,0.04,0.094,0.092,0.088,0.024,0.0,0.002,0.014,13.9,0.049,1.7,11.5,21.6,0.057,23.208,sweet,226
hard candy,24,67.0,0.0,0.0,0.0,5900.0,3800.0,0.0,0.0,0.0,21.0,50.0,0.0,0.021,0.0,0.0,0.084,0.039,0.09,0.035,0.0,0.0,0.0,0.0,0.2,0.038,0.2,0.2,0.3,0.059,6.182,sweet,227
jellybeans,4,43.0,0.0,0.0,0.0,1000.0,800.0,0.0,83.0,0.0,76.0,51.0,0.0,0.04,0.0,0.0,0.017,0.099,0.098,0.09,0.0,0.0,0.0,0.0,0.08,0.029,0.055,0.027,0.4,0.032,1.216,sweet,228
jellies,56,69.0,33.0,59.0,71.0,14700.0,10800.0,5.0,200.0,0.0,16.0,6300.0,0.0,0.055,0.098,0.0,0.1,0.039,0.045,0.046,0.2,0.0,0.0,0.063,1.5,0.084,1.3,1.3,11.3,0.041,16.779,sweet,229
